,Time,Observed,Predicted
366,1.83,0.011223,0.015515102073550224
367,1.835,0.006695,0.005011911503970623
368,1.84,0.043199,0.04127954691648483
369,1.845,-0.100022,-0.08649490773677826
370,1.85,0.019266,0.025252683088183403
371,1.855,0.026549,0.02872345596551895
372,1.86,0.012351,0.00729720713570714
373,1.865,-0.011144,-0.005152572877705097
374,1.87,-0.013811,-0.010061567649245262
375,1.875,0.040585,0.043725673109292984
376,1.88,0.014994,0.017317377030849457
377,1.885,-0.075574,-0.07355500012636185
378,1.89,0.028917,0.023437203839421272
379,1.895,0.00806,-0.0031820693984627724
380,1.9,0.03843,0.035662487149238586
381,1.905,-0.053145,-0.04396793991327286
382,1.91,-0.000817,-0.013895312324166298
383,1.915,0.048102,0.043204549700021744
384,1.92,-0.002806,-0.006737232208251953
385,1.925,-0.033287,-0.031334977596998215
386,1.93,0.011031,0.011132579296827316
387,1.935,0.005352,0.003964048344641924
388,1.94,0.04235,0.04299106076359749
389,1.945,-0.09607,-0.08278466761112213
390,1.95,0.019952,0.023548245429992676
391,1.955,0.026428,0.02901291288435459
392,1.96,0.011003,0.00877200998365879
393,1.965,-0.012345,-0.004220835864543915
394,1.97,-0.015454,-0.006003599148243666
395,1.975,0.040712,0.04185513034462929
396,1.98,0.015473,0.016862889751791954
397,1.985,-0.075929,-0.06927333027124405
398,1.99,0.028198,0.022142207249999046
399,1.995,0.010413,-0.0025863689370453358
400,2.0,0.037579,0.034011054784059525
401,2.005,-0.051324,-0.042564474046230316
402,2.01,-0.000797,-0.009524626657366753
403,2.015,0.047226,0.041418422013521194
404,2.02,-0.003285,-0.011966807767748833
405,2.025,-0.032759,-0.033601194620132446
406,2.03,0.013407,0.007608190178871155
407,2.035,0.005038,0.005227954592555761
408,2.04,0.041484,0.04293408989906311
409,2.045,-0.097763,-0.08064986765384674
410,2.05,0.019712,0.022756006568670273
411,2.055,0.026221,0.030383193865418434
412,2.06,0.013013,0.008777100592851639
413,2.065,-0.013721,-0.005797996185719967
414,2.07,-0.014745,-0.0058506326749920845
415,2.075,0.041133,0.04321328550577164
416,2.08,0.01536,0.01868642121553421
417,2.085,-0.07667,-0.06952694058418274
418,2.09,0.028871,0.02635456621646881
419,2.095,0.012296,-0.0017835095059126616
420,2.1,0.034853,0.029938511550426483
421,2.105,-0.048729,-0.04800604656338692
422,2.11,-0.001197,-0.005611252039670944
423,2.115,0.047351,0.04029536247253418
424,2.12,-0.004822,-0.011615786701440811
425,2.125,-0.031736,-0.03473629429936409
426,2.13,0.01265,0.008497284725308418
427,2.135,0.005309,0.007087823003530502
428,2.14,0.041104,0.04259523004293442
429,2.145,-0.094969,-0.08445360511541367
430,2.15,0.021684,0.023367222398519516
431,2.155,0.02678,0.03266647830605507
432,2.16,0.01267,0.007074289955198765
433,2.165,-0.014422,-0.008814494125545025
434,2.17,-0.016159,-0.007910224609076977
435,2.175,0.040647,0.04647575318813324
436,2.18,0.015519,0.017537761479616165
437,2.185,-0.077833,-0.07360270619392395
438,2.19,0.026667,0.026293717324733734
439,2.195,0.013831,0.003807659726589918
440,2.2,0.037716,0.031830836087465286
441,2.205,-0.050343,-0.04725843295454979
442,2.21,-0.002364,-0.00355395395308733
443,2.215,0.047245,0.040483713150024414
444,2.22,-0.006524,-0.010974911972880363
445,2.225,-0.031007,-0.036724284291267395
446,2.23,0.013184,0.006366297602653503
447,2.235,0.004757,0.00780909787863493
448,2.24,0.040482,0.04082817956805229
449,2.245,-0.091778,-0.08554462343454361
450,2.25,0.022232,0.022837985306978226
451,2.255,0.026563,0.03296320140361786
452,2.26,0.013173,0.011119886301457882
453,2.265,-0.016053,-0.009311430156230927
454,2.27,-0.017025,-0.011255953460931778
455,2.275,0.040745,0.04652535542845726
456,2.28,0.017571,0.02056511677801609
457,2.285,-0.077459,-0.07493452727794647
458,2.29,0.025318,0.026473108679056168
459,2.295,0.012914,0.005909436848014593
460,2.3,0.038302,0.033352386206388474
461,2.305,-0.052679,-0.04639602452516556
462,2.31,-0.001115,-0.003677824977785349
463,2.315,0.047737,0.03989936411380768
464,2.32,-0.00637,-0.011891894973814487
465,2.325,-0.030917,-0.0361919179558754
466,2.33,0.01425,0.007125828415155411
467,2.335,0.005596,0.008278081193566322
468,2.34,0.039512,0.037218086421489716
469,2.345,-0.094267,-0.08457229286432266
470,2.35,0.021828,0.021519625559449196
471,2.355,0.02752,0.03130258247256279
472,2.36,0.013119,0.013490135781466961
473,2.365,-0.014324,-0.006844715215265751
474,2.37,-0.017023,-0.011507579125463963
475,2.375,0.040288,0.04619200900197029
476,2.38,0.016615,0.020884228870272636
477,2.385,-0.076175,-0.07109048962593079
478,2.39,0.025916,0.026849379763007164
479,2.395,0.011274,0.0026155204977840185
480,2.4,0.038446,0.03394702449440956
481,2.405,-0.049777,-0.04445641115307808
482,2.41,2.344133e-05,-0.0031861765310168266
483,2.415,0.047239,0.03964000567793846
484,2.42,-0.006113,-0.010769251734018326
485,2.425,-0.032545,-0.033748969435691833
486,2.43,0.014264,0.008319282904267311
487,2.435,0.005284,0.008277444168925285
488,2.44,0.04017,0.03718407079577446
489,2.445,-0.091493,-0.0834960788488388
490,2.45,0.025179,0.019962165504693985
491,2.455,0.026632,0.030734451487660408
492,2.46,0.013089,0.014298026449978352
493,2.465,-0.014202,-0.005145326256752014
494,2.47,-0.018395,-0.011992596089839935
495,2.475,0.040292,0.04384515434503555
496,2.48,0.017129,0.019818168133497238
497,2.485,-0.074679,-0.07077092677354813
498,2.49,0.027107,0.026396948844194412
499,2.495,0.012112,0.0025777616538107395
500,2.5,0.038747,0.03743509575724602
501,2.505,-0.051014,-0.04378270357847214
502,2.51,-0.000323,-8.343486115336418e-05
503,2.515,0.046629,0.037910863757133484
504,2.52,-0.00673,-0.01245195884257555
505,2.525,-0.031884,-0.0334356352686882
506,2.53,0.015861,0.008381305262446404
507,2.535,0.005652,0.008568260818719864
508,2.54,0.041071,0.03800478205084801
509,2.545,-0.091594,-0.08159381151199341
510,2.55,0.024777,0.023906417191028595
511,2.555,0.025948,0.031068233773112297
512,2.56,0.012503,0.012472487986087799
513,2.565,-0.014649,-0.007642323151230812
514,2.57,-0.018413,-0.011683573015034199
515,2.575,0.03998,0.043668828904628754
516,2.58,0.017911,0.01982898637652397
517,2.585,-0.07499,-0.07057423144578934
518,2.59,0.02734,0.03015294298529625
519,2.595,0.01146,0.0013359920121729374
520,2.6,0.038158,0.035255398601293564
521,2.605,-0.050788,-0.0454871840775013
522,2.61,-0.000725,-0.0013195991050451994
523,2.615,0.047645,0.038001030683517456
524,2.62,-0.006568,-0.012524272315204144
525,2.625,-0.032037,-0.033394500613212585
526,2.63,0.015039,0.009112460538744926
527,2.635,0.007101,0.005468563176691532
528,2.64,0.041812,0.0378984697163105
529,2.645,-0.092214,-0.08039359003305435
530,2.65,0.022149,0.02325759455561638
531,2.655,0.026739,0.02986323833465576
532,2.66,0.01128,0.013199563138186932
533,2.665,-0.013614,-0.0084376260638237
534,2.67,-0.017765,-0.013395024463534355
535,2.675,0.039141,0.04440134018659592
536,2.68,0.017041,0.020499367266893387
537,2.685,-0.075136,-0.06886149942874908
538,2.69,0.029195,0.030091455206274986
539,2.695,0.010477,0.0009238912025466561
540,2.7,0.037813,0.03505145385861397
541,2.705,-0.051683,-0.04531088098883629
542,2.71,-0.001817,-0.0050853705033659935
543,2.715,0.047838,0.039845798164606094
544,2.72,-0.006048,-0.009636134840548038
545,2.725,-0.03318,-0.034033652395009995
546,2.73,0.014098,0.008927666582167149
547,2.735,0.006655,0.0035927121061831713
548,2.74,0.04332,0.039363086223602295
549,2.745,-0.093008,-0.07910550385713577
550,2.75,0.020079,0.021129930391907692
551,2.755,0.026028,0.029976435005664825
552,2.76,0.010736,0.012545374222099781
553,2.765,-0.013624,-0.00878429226577282
554,2.77,-0.016795,-0.012170087546110153
555,2.775,0.040031,0.04308571293950081
556,2.78,0.017233,0.021995071321725845
557,2.785,-0.075316,-0.06794386357069016
558,2.79,0.028424,0.028592204675078392
559,2.795,0.008843,-0.0009023580932989717
560,2.8,0.038398,0.03474617004394531
561,2.805,-0.053159,-0.04474795237183571
562,2.81,-0.000235,-0.006452574394643307
563,2.815,0.047789,0.040015894919633865
564,2.82,-0.003471,-0.007438906002789736
565,2.825,-0.032014,-0.03342391178011894
566,2.83,0.013376,0.008222228847444057
567,2.835,0.006712,0.003093791427090764
568,2.84,0.042276,0.040376052260398865
569,2.845,-0.098196,-0.079213947057724
570,2.85,0.019365,0.01853852905333042
571,2.855,0.027712,0.029109232127666473
572,2.86,0.011743,0.013697639107704163
573,2.865,-0.01221,-0.009059567004442215
574,2.87,-0.015329,-0.009386099874973297
575,2.875,0.040927,0.04212784022092819
576,2.88,0.015649,0.02250024303793907
577,2.885,-0.075376,-0.06734908372163773
578,2.89,0.027857,0.027152027934789658
579,2.895,0.009299,-0.0047754766419529915
580,2.9,0.038251,0.032908014953136444
581,2.905,-0.053822,-0.048938341438770294
582,2.91,-0.000529,-0.0027559513691812754
583,2.915,0.047458,0.0426391176879406
584,2.92,-0.002317,-0.006114568095654249
585,2.925,-0.032159,-0.03297663852572441
586,2.93,0.012285,0.008589912205934525
587,2.935,0.005763,0.0019789659418165684
588,2.94,0.042781,0.040228523313999176
589,2.945,-0.095092,-0.08187401294708252
590,2.95,0.018237,0.023471711203455925
591,2.955,0.027391,0.03176121041178703
592,2.96,0.01083,0.011290318332612514
593,2.965,-0.012965,-0.014586793258786201
594,2.97,-0.015025,-0.011659965850412846
595,2.975,0.041575,0.043123356997966766
596,2.98,0.015223,0.02415331080555916
597,2.985,-0.075226,-0.07050909101963043
598,2.99,0.028738,0.02674221247434616
599,2.995,0.009551,-0.0002990998327732086
600,3.0,0.03721,0.03356032818555832
601,3.005,-0.053416,-0.05304935947060585
602,3.01,-0.000624,-0.006020891945809126
